Date,Open,High,Low,Close,Adj Close,Volume
1990-06-22,10.453125,10.656250,10.406250,10.406250,2.423005,6236800
1990-06-25,10.437500,10.437500,10.203125,10.265625,2.390261,3767200
1990-06-26,10.359375,10.468750,10.250000,10.281250,2.393900,5513600
1990-06-27,10.281250,10.484375,10.218750,10.468750,2.437558,3244800
1990-06-28,10.578125,10.750000,10.515625,10.718750,2.495768,427200
1990-06-29,10.734375,10.937500,10.703125,10.890625,2.535788,5701600
1990-07-02,10.875000,11.031250,10.828125,11.031250,2.568531,2644800
1990-07-03,11.062500,11.125000,10.984375,11.046875,2.572168,4361600
1990-07-05,10.921875,10.984375,10.906250,10.953125,2.550341,3752800
1990-07-06,10.906250,11.125000,10.906250,11.125000,2.590358,3560000
1990-07-09,11.125000,11.187500,11.078125,11.156250,2.597636,2988800
1990-07-10,11.171875,11.171875,11.015625,11.046875,2.572168,3503200
1990-07-11,11.109375,11.187500,11.078125,11.156250,2.597636,4239200
1990-07-12,11.250000,11.406250,11.171875,11.359375,2.644930,8359200
1990-07-13,11.343750,11.390625,11.250000,11.265625,2.623103,8066400
1990-07-16,11.250000,11.312500,11.187500,11.234375,2.724761,4376800
1990-07-17,11.250000,11.296875,11.093750,11.218750,2.720973,4078400
1990-07-18,11.187500,11.234375,11.031250,11.125000,2.698235,3800800
1990-07-19,11.093750,11.140625,11.031250,11.062500,2.683077,3021600
1990-07-20,11.078125,11.125000,11.062500,11.062500,2.683077,6643200
1990-07-23,11.000000,11.031250,10.625000,10.843750,2.630020,7098400
1990-07-24,10.890625,10.890625,10.703125,10.875000,2.637601,5103200
1990-07-25,10.843750,10.890625,10.750000,10.843750,2.630020,4420000
1990-07-26,10.843750,10.859375,10.765625,10.859375,2.633811,5160800
1990-07-27,10.859375,10.859375,10.703125,10.765625,2.611073,3612000
1990-07-30,10.718750,10.859375,10.625000,10.859375,2.633811,4695200
1990-07-31,10.859375,11.000000,10.750000,10.843750,2.630020,5014400
1990-08-01,10.812500,10.828125,10.656250,10.687500,2.592124,3170400
1990-08-02,10.406250,10.484375,10.265625,10.281250,2.493593,7345600
1990-08-03,9.812500,10.031250,9.578125,10.000000,2.425380,11194400
1990-08-06,9.375000,9.656250,9.328125,9.453125,2.292742,11160800
1990-08-07,9.625000,9.687500,9.500000,9.656250,2.342008,8740000
1990-08-08,9.781250,10.015625,9.734375,10.000000,2.425380,6344800
1990-08-09,10.000000,10.140625,9.828125,10.109375,2.451907,5446400
1990-08-10,10.046875,10.078125,9.765625,9.984375,2.421590,5188800
1990-08-13,9.968750,10.218750,9.875000,10.218750,2.478435,3367200
1990-08-14,10.187500,10.468750,10.078125,10.343750,2.508751,4218400
1990-08-15,10.421875,10.531250,10.421875,10.437500,2.531490,4453600
1990-08-16,10.375000,10.375000,10.062500,10.078125,2.444327,3926400
1990-08-17,9.937500,9.953125,9.406250,9.843750,2.387483,11727200
1990-08-20,9.843750,9.968750,9.750000,9.781250,2.372325,3576000
1990-08-21,9.500000,9.671875,9.250000,9.500000,2.304111,9874400
1990-08-22,9.562500,9.593750,9.250000,9.265625,2.247266,5580800
1990-08-23,9.000000,9.062500,8.843750,8.890625,2.156314,7376000
1990-08-24,9.000000,9.046875,8.765625,8.984375,2.179052,10504800
1990-08-27,9.437500,9.562500,9.375000,9.484375,2.300321,7624000
1990-08-28,9.421875,9.656250,9.406250,9.625000,2.334428,5688000
1990-08-29,9.609375,9.796875,9.562500,9.734375,2.360954,4376000
1990-08-30,9.765625,9.765625,9.437500,9.531250,2.311690,3196800
1990-08-31,9.562500,9.625000,9.390625,9.625000,2.334428,2910400
1990-09-04,9.562500,9.718750,9.515625,9.703125,2.353376,3086400
1990-09-05,9.703125,9.812500,9.687500,9.703125,2.353376,4252800
1990-09-06,9.640625,9.687500,9.437500,9.562500,2.319269,3224000
1990-09-07,9.593750,9.812500,9.562500,9.750000,2.364745,3320800
1990-09-10,9.937500,9.953125,9.468750,9.625000,2.334428,3924000
1990-09-11,9.671875,9.734375,9.625000,9.640625,2.338218,3817600
1990-09-12,9.640625,9.671875,9.562500,9.640625,2.338218,2956800
1990-09-13,9.718750,9.750000,9.468750,9.546875,2.315480,3278400
1990-09-14,9.500000,9.531250,9.390625,9.390625,2.277583,3820000
1990-09-17,9.375000,9.500000,9.312500,9.453125,2.292742,3175200
1990-09-18,9.343750,9.593750,9.265625,9.546875,2.315480,4711200
1990-09-19,9.640625,9.656250,9.406250,9.406250,2.281371,3672000
1990-09-20,9.343750,9.359375,9.203125,9.250000,2.243475,4119200
1990-09-21,9.234375,9.281250,8.890625,9.000000,2.182841,9435200
1990-09-24,8.984375,9.000000,8.828125,8.953125,2.171473,4541600
1990-09-25,8.984375,9.250000,8.953125,9.187500,2.228317,4927200
1990-09-26,9.234375,9.265625,8.937500,9.015625,2.186632,5413600
1990-09-27,9.171875,9.187500,8.812500,9.046875,2.194210,5608000
1990-09-28,8.875000,9.234375,8.875000,9.109375,2.209369,7029600
1990-10-01,9.250000,9.687500,9.203125,9.625000,2.334428,7779200
1990-10-02,9.671875,9.921875,9.671875,9.718750,2.357166,6892800
